  1056
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
    50   -540.6028   -625.8003     47.7990   -562.4489   -642.8218     48.1000   293582.19           41.2300            0.3018          0.447340          0.607931
    51   -501.4030   -289.8018    641.3964   -501.3791   -295.9450    636.1528   448034.44           47.4687            0.2426          0.648097          0.479183
    52   -778.6018   -676.2001    -72.6005   -780.2909   -670.9659    -69.7225   169006.23           34.2982            0.2888          0.498649          0.660889
    53  -1005.4008    449.3950   -145.4002   -997.2198    453.7641   -139.0714   119285.60           30.5375            0.3535          0.489003          0.635955
    54   -325.0038   -530.6007    344.5977   -326.8950   -516.0938    359.4393   186765.16           35.4598            0.3176          0.541220          0.556107
    55  -1165.0001    180.5962    -47.4006  -1148.8181    177.1330    -64.0940   287435.72           40.9403            0.2695          0.292927          0.662044
    56   -403.4034    152.5963   1066.9945   -388.2097    157.3036   1058.8304   208651.02           36.7940            0.3578          0.550373          0.454147
    57    -11.4052   -564.2006    565.7967    -15.3674   -562.4641    544.1527   382420.78           45.0282            0.2924          0.382207          0.611296
    58   -708.6021    429.7951     -2.6008   -682.9356    421.1374     -7.0191   335531.91           43.1071            0.3266          0.369418          0.608427
    59   -582.6027   -558.6006    548.9968   -574.5749   -572.2538    535.5636   483113.28           48.6766            0.2603          0.556129          0.611189
    60   -423.0034   -175.0023    630.1964   -412.5728   -171.1074    632.8295   310221.59           41.9947            0.2735          0.489260          0.601004
    61   -761.8019    639.7942      0.1992   -763.6173    633.6352      2.6967   262410.75           39.7159            0.2413          0.521443          0.692067
    62   -431.4033    -12.6030    534.9968   -421.2964     -8.1426    539.1437   137176.25           31.9936            0.2900          0.394423          0.747399
    63   -456.6032    132.9964    974.5949   -467.9650    147.5672    982.5536   335092.88           43.0883            0.3373          0.388459          0.569602
    64   -361.4036   -110.6025    627.3964   -360.7229   -105.0139    639.4817   170586.75           34.4048            0.3181          0.583888          0.538595
    65   -386.6035    421.3951    -69.8005   -415.8204    437.5907    -28.0052   625009.12           53.0395            0.2458          0.470872          0.633777
    66   -820.6016   -502.6008    -27.8007   -821.5482   -492.8187    -15.0500   308026.41           41.8954            0.2636          0.479122          0.512394
    67   -840.2015   -555.8006    -25.0007   -824.9817   -562.3698    -15.9758   323436.53           42.5827            0.2763          0.333351          0.566701
    68   -577.0027   -477.4009    890.5953   -567.3761   -483.4728    875.8850   215499.95           37.1923            0.2705          0.455159          0.720293
    69  -1139.8003   -382.2014   -179.0001  -1116.5326   -371.7408   -170.1620   129273.63           31.3671            0.3737          0.511874          0.447121
    70   -719.8021   -320.6016    854.1954   -732.4592   -352.5429    850.1323   429924.28           46.8203            0.2975          0.369638          0.515264
    71   -456.6032   -457.8010    436.9973   -457.7878   -456.5869    442.9973   247198.22           38.9331            0.2957          0.312660          0.516300
    72   -367.0036   -550.2006    414.5974   -364.9487   -549.4804    413.6926    82121.35           26.9643            0.2957          0.333610          0.592621
    73   -353.0037    132.9964    652.5963   -328.6860    100.7466    679.5699   851858.12           58.8066            0.3105          0.476458          0.720708
    74   -635.8024   -245.0020    -95.0004   -643.0436   -243.3334    -82.4428   212668.19           37.0287            0.3156          0.446590          0.683415
    75   -143.0046    132.9964    859.7954   -138.3880    151.1486    869.7659   278479.41           40.5106            0.3083          0.485772          0.607767
    76   -661.0023   -320.6016    162.5984   -662.7084   -308.2231    161.1201   535665.69           50.3812            0.3506          0.406161          0.465691
    77   -641.4024    200.1961    -95.0004   -666.4122    222.8652    -90.1288   427553.50           46.7341            0.2588          0.575512          0.589168
    78   -509.8030   -623.0003    669.3962   -513.3005   -644.4580    674.0463   179762.56           35.0109            0.2933          0.382534          0.761931
    79   -162.6045    438.1951   1036.1946   -151.6026    440.4181   1034.3536    71057.69           25.6945            0.4108          0.597916          0.506593
    80  -1055.8005   -275.8018    -67.0005  -1037.6272   -245.1739    -84.5788   789647.00           57.3387            0.2723          0.314278          0.488029
    81   -599.4026   -441.0011    753.3959   -604.8302   -410.7417    752.3746   518828.72           49.8477            0.2800          0.490811          0.440525
    82   -521.0029   -130.2025    991.3948   -533.8477   -128.9692    990.0961    74899.24           26.1495            0.4298          0.618733          0.473063
    83    120.1943   -452.2010   1083.7944    136.2770   -465.0005   1077.7117   355968.97           43.9651            0.3015          0.493667          0.577700
    84   -397.8035   -124.6025    557.3967   -405.7667   -118.4686    560.7839   155988.86           33.3940            0.2694          0.456140          0.772983
    85   -397.8035   -572.6005     72.9988   -406.2964   -561.0850     76.2885   144552.02           32.5571            0.2628          0.367495          0.643697
    86   -997.0009    160.9963    -83.8005  -1006.0646    153.3095    -70.5416   301462.84           41.5957            0.2725          0.529859          0.696006
    87   -929.8011   -480.2009     33.7990   -933.9784   -478.1718     36.7682   112326.91           29.9317            0.2864          0.474559          0.739204
    88   -960.6010   -424.2012    -83.8005   -965.0933   -429.6590    -99.0977   310463.06           42.0056            0.2738          0.571002          0.578668
    89   -910.2012    177.7962   -117.4003   -904.3480    177.5083   -115.8986   142444.66           32.3981            0.3416          0.425958          0.686992
    90   -711.4021   -362.6014     86.9988   -713.5079   -362.8535     94.0718   139854.36           32.2005            0.2723          0.179779          0.671070
    91   -297.0039   -418.6012    324.9977   -295.4712   -423.6492    325.9692   308619.12           41.9223            0.2882          0.363401          0.644931
    92   -344.6037    149.7963    557.3967   -330.4229    158.8508    548.3871   587976.62           51.9705            0.3634          0.367699          0.605648
    93   -585.4026   -432.6011    655.3963   -581.5917   -425.4931    639.7443   400465.06           45.7255            0.2661          0.230379          0.674773
    94  -1181.8000    250.5959     50.5989  -1165.6727    262.6261     39.4468   273254.91           40.2556            0.2599          0.579606          0.513799
    95   -764.6019   -511.0008      8.5991   -741.1279   -500.4185     10.2884   431592.59           46.8808            0.2811          0.184700          0.540803
    96   -607.8026   -508.2008    540.5968   -591.0865   -505.2064    553.4387   304799.53           41.7486            0.2338          0.488439          0.682445
    97  -1019.4008    331.7955   -123.0003  -1020.3011    323.7656   -122.6527   107782.91           29.5225            0.3001          0.452774          0.735629
    98   -809.4017   -623.0003    -97.8004   -813.9054   -632.6136    -79.4820   298345.72           41.4518            0.2945          0.378895          0.573115
    99   -719.8021    390.5953    -75.4005   -727.0481    383.6987    -75.4385   234729.66           38.2672            0.2759          0.469033          0.658746
   100   -103.8047    169.3962    820.5956   -104.1393    167.1644    815.9594   130656.59           31.4785            0.2991          0.452630          0.713672
   101  -1027.8008    286.9957     44.9990  -1022.9521    298.2117     40.3242   282189.25           40.6897            0.2751          0.362105          0.495583
   102   -232.6042    242.1959   1106.1943   -233.1093    238.6597   1103.9187   164396.38           33.9835            0.2652          0.314222          0.730293
   103   -493.0031   -225.4020    131.7986   -493.9534   -219.4539    140.4357    89738.59           27.7735            0.2921          0.353413          0.497270
   104   -490.2031     68.5967    621.7964   -491.5519     79.7503    636.8892   175701.50           34.7453            0.2644          0.420909          0.668998
   105   -204.6043    286.9957   1064.1946   -201.4722    273.9129   1069.0334   340405.19           43.3148            0.3082          0.389221          0.609438
   106  -1033.4006    211.3961    -72.6005  -1022.3557    208.5893    -74.7211   240437.09           38.5749            0.2548          0.576308          0.563338
   107   -890.6013    390.5953     33.7990   -913.4817    378.0746     38.5830   584508.25           51.8681            0.2690          0.520693          0.589077
   108   -299.8039    611.7943    344.5977   -301.3862    607.9034    336.4867   541065.81           50.5499            0.2344          0.533099          0.639567
   109   -619.0025   -393.4013     75.7988   -604.7182   -388.1140     73.7393   181145.53           35.1005            0.2752          0.506812          0.478010
   110  -1097.8004   -340.2015    -27.8007  -1105.4424   -338.4106    -25.5535   140600.72           32.2577            0.2577          0.186908          0.793178
   111   -369.8036    250.5959     -5.4008   -380.7586    262.7344      0.1750   100033.95           28.7974            0.2707          0.509237          0.724607
   112   -229.8042   -595.0004    280.1979   -226.2959   -613.2398    265.8641   294021.22           41.2506            0.3503          0.541914          0.547523
   113   -179.4044    337.3955   1024.9946   -172.0314    323.7791   1000.8170   428212.03           46.7581            0.3236          0.464752          0.610285
   114   -227.0042    678.9940    904.5952   -222.6935    673.2925    895.7774    65108.78           24.9565            0.3714          0.326232          0.721787
   115   -120.6047    242.1959    988.5948   -112.9686    239.1863    975.6616   197828.83           36.1466            0.3538          0.527984          0.699541
   116  -1131.4003    412.9952     75.7988  -1123.1184    426.6207     42.6605   306753.22           41.8376            0.2565          0.473586          0.653243
   117   -591.0026    -54.6028    750.5959   -607.4078    -57.1922    761.7611   294613.94           41.2783            0.3216          0.389079          0.561273
   118   -834.6016   -166.6023    -27.8007   -830.7245   -167.5039    -36.9951   259139.95           39.5502            0.2463          0.492375          0.715398
   119  -1005.4008    121.7964   -151.0002  -1017.8638    119.9191   -137.6207   230492.97           38.0356            0.2610          0.308309          0.730972
   120   -210.2043   -670.6001     86.9988   -209.7266   -672.9716     81.2604   355837.25           43.9597            0.2509          0.724503          0.539360
   121   -375.4036    -68.6027    565.7967   -376.3330    -58.3863    565.1906   176799.08           34.8175            0.3185          0.390828          0.575884
   122   -532.2029   -144.2024    660.9963   -523.7106   -153.6531    657.4508   156032.77           33.3971            0.3038          0.368169          0.635484
   123   -868.2014    110.5965   -103.4004   -859.8658     83.1966   -107.6144   422987.53           46.5672            0.3190          0.513693          0.604509
   124   -439.8033   -681.8000    448.1972   -444.6155   -670.5203    458.7985   184877.31           35.3399            0.2937          0.287580          0.485294
   125   -453.8032     -1.4030    812.1956   -428.6179      1.1932    831.8107   568549.31           51.3917            0.3125          0.430749          0.633859
   126   -330.6038   -513.8008     98.1987   -343.6080   -525.4250     80.0678   439517.16           47.1660            0.2592          0.220978          0.730657
   127   -484.6031   -592.2004    501.3970   -488.8523   -603.4010    499.3453   309080.09           41.9431            0.2590          0.422387          0.753711
   128   -381.0035   -399.0013    582.5966   -385.9120   -398.6898    593.0436   290838.22           41.1012            0.2792          0.266315          0.601825
   129   -162.6045   -457.8010    156.9985   -155.2699   -456.5765    151.6157   159259.67           33.6258            0.3427          0.505095          0.517394
   130   -232.6042   -421.4012     89.7988   -243.2056   -425.1285     86.2064   232666.19           38.1547            0.2431          0.456180          0.680994
   131   -607.8026   -558.6006    694.5961   -598.6058   -557.5163    688.3162   172101.42           34.5063            0.3032          0.418583          0.619177
   132   -479.0031    116.1965    613.3965   -488.4029    114.7212    615.0245    80540.83           26.7902            0.3621          0.455361          0.730310
   133   -988.6009    -46.2028    -81.0005  -1003.1897    -43.3513    -87.3787   451524.75           47.5917            0.3441          0.483624          0.487960
   134   -613.4025    396.1953     25.3990   -618.5052    391.8217     19.4767    90243.48           27.8255            0.3600          0.327101          0.772961
   135   -339.0037   -595.0004    350.1976   -327.4450   -597.0106    353.9125   136671.36           31.9543            0.3261          0.621235          0.564563
   136   -481.8031   -326.2016    478.9971   -498.8200   -320.2234    481.2703   181452.84           35.1203            0.2844          0.427933          0.605669
   137   -697.4022    468.9949     39.3990   -703.0746    482.7990     41.2986   296018.84           41.3438            0.3492          0.465097          0.522825
   138   -549.0028   -567.0005    870.9954   -540.4100   -566.3629    861.9449   148635.05           32.8608            0.3647          0.285456          0.598626
   139   -761.8019    664.9941    -44.6006   -752.1372    667.1797    -37.3806   209155.91           36.8237            0.2792          0.567409          0.690936
   140   -812.2017   -323.4016    -50.2006   -809.4934   -318.0995    -39.6874    98607.09           28.6598            0.2626          0.264291          0.724470
   141   -658.2023    121.7964   -103.4004   -683.1775    131.7417    -84.0955   382091.50           45.0152            0.2858          0.579256          0.416824
   142   -719.8021    309.3956    -27.8007   -720.0889    313.3277    -31.1630   126793.09           31.1651            0.2424          0.156795          0.653187
   143   -235.4042   -547.4006    322.1978   -227.0110   -549.9911    316.6845   227178.27           37.8523            0.2758          0.456356          0.689521
   144  -1092.2004    177.7962   -162.2001  -1081.5701    187.5313   -150.5822   336805.12           43.1615            0.3222          0.442113          0.587468
   145   -938.2011    550.1946   -153.8002   -936.8240    529.2230   -116.3839   342029.62           43.3835            0.2844          0.361403          0.581040
   146   -565.8027   -113.4025    921.3951   -581.9645   -113.8798    934.9338   181540.66           35.1260            0.3267          0.341183          0.719608
   147   -801.0017      1.3970     14.1991   -799.4550      8.6346     10.1492   187555.42           35.5097            0.2518          0.615234          0.607754
   148   -151.4045   -642.6002    495.7970   -151.7589   -646.4335    505.1972   209616.89           36.8507            0.3371          0.586982          0.658185
   149   -929.8011   -385.0013   -142.6002   -919.2936   -391.0066   -122.2072   331514.75           42.9343            0.3212          0.691639          0.606941
   150   -619.0025   -163.8023    865.3954   -602.8097   -141.1370    856.2817   334741.66           43.0732            0.2982          0.437439          0.572169
   151   -705.8021   -603.4004    702.9961   -688.9545   -607.9313    690.7933   208870.53           36.8069            0.2335          0.565173          0.531954
   152   -252.2041   -586.6005    196.1983   -234.2216   -615.6151    173.5515   407775.00           46.0021            0.3208          0.446172          0.511541
   153   -731.0020   -455.0010     64.5989   -724.6614   -456.0976     59.0280   232710.09           38.1571            0.2673          0.562565          0.516728
   154   -655.4023    -49.0028    957.7950   -621.9825    -52.0838    951.8060   270049.97           40.0976            0.2997          0.427717          0.661816
   155   -927.0012   -312.2017   -148.2002   -934.3947   -315.7326   -133.2271   110504.91           29.7690            0.3824          0.428071          0.693528
   156   -131.8046     57.3967    571.3967   -126.0076     67.6634    563.0326   190562.81           35.6985            0.3733          0.560435          0.546300
   157   -666.6023   -483.0009    646.9963   -661.6507   -481.4544    640.9592   196050.73           36.0379            0.2579          0.289924          0.662187
   158   -241.0042     51.7968    470.5971   -242.3722     39.1312    470.5088   377064.56           44.8170            0.3137          0.597146          0.579118
   159   -677.8022    337.3955    -83.8005   -662.4928    340.8315    -74.0192   380379.25           44.9479            0.2654          0.175337          0.647456
   160   -313.8038   -298.2017    397.7974   -322.7190   -303.8176    413.8674   362203.25           44.2203            0.2817          0.182149          0.533752
   161    -61.8049   -455.0010    240.9981    -81.1212   -485.3197    262.7392   422987.53           46.5672            0.3264          0.482026          0.440101
   162  -1005.4008   -116.2025    -27.8007  -1032.8679   -115.6838    -53.7080   326114.62           42.6999            0.2787          0.610134          0.625440
   163   -381.0035   -530.6007    142.9985   -379.4953   -533.5500    131.5122   177523.48           34.8650            0.3241          0.558641          0.468310
   164   -997.0009    681.7940    -69.8005   -968.7544    670.9598    -87.5164   334719.69           43.0723            0.3135          0.703572          0.548418
   165   -523.8029   -488.6009    529.3969   -523.8028   -492.6634    529.3728   186062.70           35.4152            0.2500          0.455114          0.756771
   166   -434.2033   -469.0010    366.9976   -415.2353   -448.5438    380.7487   402791.97           45.8139            0.2722          0.414679          0.621309
   167     44.5946   -681.8000    952.1950     51.9233   -676.8364    950.5092    96477.77           28.4520            0.3796          0.480979          0.735236
   168   -725.4020    146.9963    -41.8007   -730.8452    140.1914    -41.5651   409618.94           46.0713            0.2677          0.533593          0.615600
   169   -453.8032   -516.6008     72.9988   -439.4027   -502.1211     86.4938   424392.44           46.6187            0.2660          0.410246          0.639197
   170   -378.2036   -105.0026    686.1962   -373.3451    -96.2981    679.0304    97531.45           28.5552            0.3470          0.316257          0.609902
   171   -904.6013    250.5959   -139.8002   -900.7999    263.1426   -133.8002   141610.48           32.3347            0.3719          0.580973          0.656201
   172   -977.4009    107.7965    -16.6008   -981.3993     85.5061    -15.2925   319002.28           42.3872            0.2882          0.481750          0.592809
   173   -980.2009   -457.8010      2.9991   -985.8494   -462.0822     -9.1790   142356.84           32.3914            0.2831          0.566728          0.598113
   174   -932.6011   -116.2025    -13.8008   -921.7966    -92.9915    -11.5096   172584.36           34.5386            0.2543          0.541906          0.703789
   175   -633.0024    -29.4029    904.5952   -643.9119    -32.0772    883.4061    86050.71           27.3877            0.4231          0.462100          0.498085
   176  -1159.4001   -326.2016    -16.6008  -1157.4026   -313.7707    -25.3799   249437.30           39.0503            0.3036          0.455029          0.637440
   177   -193.4044    230.9960    991.3948   -193.0354    230.7962    999.7091   109539.04           29.6820            0.3144          0.342395          0.713254
   178   -285.8040   -541.8007    291.3979   -282.5410   -540.9295    274.1545   143498.34           32.4778            0.3753          0.454909          0.595153
   179   -630.2025   -466.2010    809.3956   -639.9199   -453.4831    814.0044   372652.25           44.6415            0.2781          0.664110          0.569655
