  1602
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
    50    331.7955   -533.4007    158.1963    315.8985   -525.0952    145.7827   211043.75           36.9341            0.2375          0.433596          0.592592
    51   -270.2018    -60.2028   -158.2023   -283.5428    -60.3751   -165.7861   491037.84           48.9413            0.2657          0.607297          0.615937
    52   -270.2018    622.9943      9.7969   -273.9012    616.9091     13.7714   811620.62           57.8657            0.2424          0.374428          0.488292
    53   -631.4003    522.1947     48.9968   -622.2050    530.9363     53.6296   653129.25           53.8233            0.2130          0.417192          0.577418
    54   -449.4011    208.5961   -301.0017   -456.7703    218.5296   -294.3177   327146.34           42.7449            0.2637          0.523147          0.537344
    55   -233.8020    342.9955      6.9969   -220.8633    345.0739     18.2624   449110.06           47.5067            0.2082          0.533029          0.642538
    56    516.5947    620.1943    -21.0029    512.3395    606.9089    -23.1625   383123.22           45.0557            0.2203          0.427641          0.637463
    57   -441.0011    141.3964    107.7965   -421.6593    146.1830    107.1327   290969.94           41.1074            0.2457          0.407300          0.629805
    58   -281.4018   -569.8005   -141.4024   -303.2721   -566.2431   -134.5464   544929.31           50.6700            0.2153          0.381268          0.596996
    59   -645.4002   -572.6005    -99.4026   -641.1910   -568.3676    -87.6339   360644.66           44.1567            0.2187          0.393571          0.674991
    60   -589.4005    -63.0027    -54.6028   -585.1685    -61.9490    -72.6946   562227.25           51.2005            0.2302          0.263796          0.589637
    61    172.1962    600.5944     23.7969    194.2553    601.3335      9.3309   811554.75           57.8642            0.2242          0.452697          0.627981
    62    233.7960    513.7947     62.9967    202.2044    524.2968     49.5262   660900.19           54.0359            0.2369          0.580310          0.563809
    63   -242.2020    -32.2029    -32.2029   -250.3259    -27.6048    -27.2810   278040.38           40.4893            0.2475          0.545590          0.496968
    64   -289.8018     29.3969    211.3961   -305.1782     30.3468    215.3926   441119.66           47.2233            0.2020          0.407583          0.524564
    65    110.5965    555.7946   -175.0023     96.0697    553.3306   -186.6431   218068.30           37.3395            0.2607          0.194780          0.644506
    66     26.5969    575.3945     34.9968      9.8881    581.2607     33.6950   477339.97           48.4819            0.2287          0.219907          0.630284
    67    -21.0029   -519.4008    166.5963    -20.7405   -526.9403    163.1231   113665.96           30.0502            0.2891          0.494275          0.521737
    68   -547.4006    228.1960    289.7957   -542.5747    215.5490    289.2982   167711.08           34.2104            0.2588          0.546870          0.530684
